model,features,accuracy,precision,recall,f1
with_recency,"days_since_last_activity, repos_per_year, follower_ratio, followers_per_repo, engagement_score",1.0,1.0,1.0,1.0
without_days_since_last_activity,"repos_per_year, follower_ratio, followers_per_repo, following_per_repo, engagement_score, is_organization, has_company, is_hireable",0.6031746031746031,0.4642857142857143,0.5652173913043478,0.5098039215686274
